Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
11/2/2020,2033.5,2033.5,1860,1877.3,1925.38,1444243,99979,2780720563,454410,31.46,173.5,-156.2
10/30/2020,2035,2064.65,2022,2054.35,2040.8,354434,21010,723330099,59640,16.83,42.65,19.35
10/29/2020,1999.4,2042.3,1990.75,2026.55,2019.52,384785,24193,777081516,61211,15.91,51.55,27.15
10/28/2020,2044,2057.9,2006.9,2010.7,2031.09,1519047,23215,3085321626,1315250,86.58,51,-33.3
10/27/2020,2032,2060,2005.55,2034.2,2026.92,476055,30069,964924441,113652,23.87,54.45,2.2
10/26/2020,2101,2106,2018.45,2028.7,2055.3,560855,40255,1152725654,186620,33.27,87.55,-72.3
10/23/2020,2109,2134.8,2095.65,2112.55,2121.43,618540,26760,1312188425,272914,44.12,39.15,3.55
10/22/2020,2123,2133.05,2091.5,2107.1,2107.53,301966,18851,636401659,87555,28.99,41.55,-15.9
10/21/2020,2171.1,2191,2098.75,2123.25,2146.32,534557,28730,1147331746,155664,29.12,92.25,-47.85
10/20/2020,2183.7,2193.7,2152.2,2155.5,2163.8,364138,17616,787923562,167390,45.97,41.5,-28.2
10/19/2020,2192,2228.4,2156,2175.8,2191.06,352226,21777,771750005,69007,19.59,72.4,-16.2
10/16/2020,2214.8,2232,2173.05,2175.5,2195.08,440109,20807,966073229,168565,38.3,58.95,-39.3
10/15/2020,2291,2291.7,2195.1,2205.55,2271.64,1514858,18662,3441215460,1322717,87.32,96.6,-85.45
10/14/2020,2284.9,2304.2,2269.55,2287.35,2283.98,306815,15320,700759702,99371,32.39,34.65,2.45
10/13/2020,2232.2,2285.95,2228.2,2280.25,2256.06,409570,17920,924012903,193512,47.25,57.75,48.05
10/12/2020,2233.5,2254.85,2226.85,2236.6,2240.33,262242,18094,587507518,78335,29.87,28,3.1
10/9/2020,2237,2252.65,2217.2,2233.7,2232.22,305022,15084,680876994,145392,47.67,35.45,-3.3
10/8/2020,2261.8,2268,2222.4,2238.9,2237.65,419058,18575,937706238,158891,37.92,45.6,-22.9
10/7/2020,2233.25,2309.4,2221,2257.15,2279.77,875121,42725,1995074829,217472,24.85,88.4,23.9
10/6/2020,2228,2234,2201.45,2210.15,2213.59,259771,13272,575027216,84613,32.57,32.55,-17.85
10/5/2020,2246,2249,2205.5,2211.15,2222.57,393079,18602,873646711,151982,38.66,43.5,-34.85
10/1/2020,2264,2264,2213.85,2225.05,2237.66,285180,14214,638137256,81416,28.55,50.15,-38.95
9/30/2020,2264.8,2267.55,2225.1,2233.75,2242.73,1560690,16556,3500207040,1317210,84.4,42.45,-31.05
9/29/2020,2222,2264,2217.15,2244.85,2243.87,325287,18492,729901718,41399,12.73,46.85,22.85
9/28/2020,2229,2238.7,2207.25,2215.75,2221.31,516453,26292,1147203882,141025,27.31,31.45,-13.25
9/25/2020,2196,2212.6,2168.6,2201.7,2189.78,413085,22864,904564436,114584,27.74,44,5.7
9/24/2020,2210,2226,2175.65,2181.15,2200.7,439081,21729,966283603,173631,39.54,50.35,-28.85
9/23/2020,2275,2276.5,2206.15,2229.55,2241.91,774144,40123,1735558690,160960,20.79,70.35,-45.45
9/22/2020,2287,2287,2201.35,2211.15,2222.41,693332,24225,1540867623,370132,53.38,85.65,-75.85
9/21/2020,2305,2336.55,2248,2255.15,2297.32,501009,25843,1150978451,172132,34.36,88.55,-49.85
9/18/2020,2315.8,2319.6,2277.05,2305.5,2304.81,518389,24971,1194789860,231928,44.74,42.55,-10.3
9/17/2020,2319,2334.4,2293,2299.35,2309.87,421866,17905,974457148,130912,31.03,41.4,-19.65
9/16/2020,2323.7,2368.8,2311.75,2323.85,2339.94,653164,26455,1528366208,174187,26.67,57.05,0.15
9/15/2020,2315,2326.5,2288.2,2317.9,2308.14,509141,21105,1175166270,148557,29.18,38.3,2.9
9/14/2020,2319.75,2360,2281.95,2302.35,2322.6,619976,27379,1439953245,78561,12.67,78.05,-17.4
9/11/2020,2314.65,2337,2286.05,2318.85,2318.47,1330635,58453,3085033793,379174,28.5,50.95,4.2
9/10/2020,2185,2343.9,2176.15,2314.65,2277.88,2449702,98665,5580139024,611376,24.96,167.75,129.65
9/9/2020,2085,2167.2,2085,2161.25,2140.04,850676,38623,1820479248,312223,36.7,82.2,76.25
9/8/2020,2093.8,2120,2080.9,2107.05,2109.51,481632,20618,1016007253,211381,43.89,39.1,13.25
9/7/2020,2080.2,2105,2045.35,2082.4,2070.45,625358,36193,1294771188,278944,44.61,59.65,2.2
9/4/2020,2065.6,2097,2065.6,2077.4,2084.38,461018,28592,960938134,138220,29.98,31.4,11.8
9/3/2020,2128,2137,2103.2,2112.15,2113.62,274998,17060,581242587,60225,21.9,33.8,-15.85
9/2/2020,2095,2137,2085.5,2128.6,2100.57,1979773,33347,4158643031,1476442,74.58,51.5,33.6
9/1/2020,2095,2121.75,2063.45,2087.55,2091.52,542387,26465,1134412373,75538,13.93,58.3,-7.45
8/31/2020,2172,2172,2061.25,2078.55,2123.54,770897,35129,1637030802,141428,18.35,110.75,-93.45
8/28/2020,2120,2131.9,2106.2,2115.6,2119.52,463554,26015,982513441,125963,27.17,25.7,-4.4
8/27/2020,2146.25,2148.5,2103.75,2111.7,2126.33,397191,17384,844557704,75812,19.09,44.75,-34.55
8/26/2020,2087.4,2147.15,2047.25,2136.85,2105.39,857465,36417,1805301942,158433,18.48,99.9,49.45
8/25/2020,2105,2111.3,2078.3,2082,2089.3,481884,26648,1006799665,144101,29.9,33,-23
8/24/2020,2098.8,2104.65,2070.15,2096.05,2088.31,560786,22213,1171093059,162385,28.96,34.5,-2.75
8/21/2020,2119.8,2119.8,2077.05,2081.75,2096.93,437199,19487,916773740,121391,27.77,42.75,-38.05
8/20/2020,2118.05,2123.9,2087.8,2096.35,2108.79,494200,30536,1042163472,136932,27.71,36.1,-21.7
